+1 1:4.0 2:1.0 3:1.5 4:0.0 5:0.0 6:0.0 7:1.473502034956886 8:0.0 9:0.0 10:0.75 11:0.0 12:0.002358490566038
-1 1:2.0 2:0.5 3:0.0 4:0.0 5:0.0 6:0.5 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
+1 1:89.0 2:0.39325842696629215 3:1.3932584269662922 4:0.898876404494382 5:0.15730337078651685 6:0.0 7:4.691827291951822 8:0.0 9:0.02247191011235955 10:0.0 11:0.07865168539325842 12:0.014222658165768
-1 1:1.0 2:1.0 3:1.0 4:0.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:2.0 2:0.5 3:1.0 4:1.0 5:0.5 6:1.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:12.0 2:0.25 3:0.9166666666666666 4:0.8333333333333334 5:0.3333333333333333 6:0.0 7:2.725094521081469 8:0.0 9:0.0 10:0.08333333333333333 11:0.0 12:0.001651073197578
-1 1:2.0 2:1.0 3:1.0 4:0.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:3.0 2:0.3333333333333333 3:1.6666666666666667 4:0.3333333333333333 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:1.0 2:1.0 3:1.0 4:2.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:2.0 2:1.0 3:1.5 4:0.0 5:0.0 6:0.0 7:2.279514853526186 8:0.0 9:0.0 10:0.0 11:0.5 12:0.002178649237473
-1 1:3.0 2:1.0 3:0.6666666666666666 4:0.3333333333333333 5:0.6666666666666666 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.3333333333333333 11:0.0 12:0.000000000000000
-1 1:1.0 2:1.0 3:1.0 4:1.0 5:1.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:1.0 11:0.0 12:0.000000000000000
-1 1:5.0 2:0.6 3:1.8 4:5.0 5:0.0 6:0.6 7:1.770852011642144 8:0.0 9:0.0 10:0.2 11:0.0 12:0.008333333333333
-1 1:1.0 2:1.0 3:4.0 4:1.0 5:0.0 6:0.0 7:3.676268043425286 8:0.0 9:0.0 10:0.0 11:1.0 12:0.000549752611325
-1 1:1.0 2:1.0 3:1.0 4:0.0 5:0.0 6:1.0 7:3.676268043425286 8:0.0 9:0.0 10:0.0 11:1.0 12:0.000549752611325
-1 1:1.0 2:1.0 3:1.0 4:3.0 5:0.0 6:1.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.007692307692308
-1 1:1.0 2:1.0 3:2.0 4:1.0 5:0.0 6:0.0 7:1.079181246047625 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000549752611325
-1 1:2.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:1.0 2:1.0 3:0.0 4:1.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:1.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:1.0 2:1.0 3:1.0 4:1.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:1.0 2:1.0 3:2.0 4:2.0 5:0.0 6:0.0 7:1.979894879516341 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000483558994197
-1 1:1.0 2:1.0 3:1.0 4:2.0 5:0.0 6:0.0 7:0.000000000000000 8:0.0 9:0.0 10:0.0 11:0.0 12:0.000000000000000
-1 1:4.0 2:0.75 3:0.25 4:0.0 5:0.0 6:0.0 7:1.618483916600050 8:0.0 9:0.0 10:0.25 11:0.0 12:0.001620745542950
